Input,,,,,,,Output 1,Output 2,Output 3
NaCl,Rt (rpm),T(°C),t (min),DB (%),pH,Co (mg/L),Cf (mg/L),q(mg/g),R(%)
0,60,30,20,1,4.5,50,9.90,04.01,80.21
0,60,30,20,1,4.5,100,17.79,8.22,82.21
0,60,30,20,1,4.5,250,46.70,20.33,81.32
0,60,30,20,1,4.5,350,72.77,27.72,79.21
0,60,30,20,1,4.5,500,157.15,34.29,68.57
0,60,30,20,1,4.5,750,298.43,45.16,60.21
0,60,30,20,1,4.5,850,408.00,44.20,52.00
0,60,30,20,1,4.5,1000,549.80,45.02,45.02
0,60,45,20,1,4.5,50,6.63,4.34,86.74
0,60,45,20,1,4.5,100,14.35,8.57,85.65
0,60,45,20,1,4.5,250,42.38,20.76,83.05
0,60,45,20,1,4.5,350,61.35,28.86,82.47
0,60,45,20,1,4.5,500,143.43,35.66,71.31
0,60,45,20,1,4.5,750,320.50,42.95,57.27
0,60,45,20,1,4.5,850,380.64,46.94,55.22
0,60,45,20,1,4.5,1000,468.27,53.17,53.17
0,60,45,20,1,4.5,50,6.78,4.32,86.44
0,60,45,20,1,4.5,100,15.61,8.44,84.39
0,60,45,20,1,4.5,250,40.15,20.99,83.94
0,60,45,20,1,4.5,350,61.87,28.81,82.32
0,60,45,20,1,4.5,500,154.24,34.58,69.15
0,60,45,20,1,4.5,750,237.83,51.22,68.29
0,60,45,20,1,4.5,850,283.08,56.69,66.70
0,60,45,20,1,4.5,1000,407.14,59.29,59.29
0,80,30,20,1,4.5,50,7.70,4.23,84.60
0,80,30,20,1,4.5,100,12.13,8.79,87.87
0,80,30,20,1,4.5,250,36.68,21.33,85.33
0,80,30,20,1,4.5,350,58.43,29.16,83.31
0,80,30,20,1,4.5,500,140.16,35.98,71.97
0,80,30,20,1,4.5,750,216.00,53.40,71.20
0,80,30,20,1,4.5,850,368.51,48.15,56.65
0,80,30,20,1,4.5,1000,440.91,55.91,55.91
0,80,45,20,1,4.5,50,6.24,4.38,87.52
0,80,45,20,1,4.5,100,14.18,8.58,85.82
0,80,45,20,1,4.5,250,37.87,21.21,84.85
0,80,45,20,1,4.5,350,58.74,29.13,83.22
0,80,45,20,1,4.5,500,128.84,37.12,74.23
0,80,45,20,1,4.5,750,257.71,49.23,65.64
0,80,45,20,1,4.5,850,306.41,54.36,63.95
0,80,45,20,1,4.5,1000,454.98,54.50,54.50
0,80,60,20,1,4.5,50,6.90,4.31,86.20
0,80,60,20,1,4.5,100,14.36,8.56,85.64
0,80,60,20,1,4.5,250,41.85,20.82,83.26
0,80,60,20,1,4.5,350,56.95,29.31,83.73
0,80,60,20,1,4.5,500,146.00,35.40,70.80
0,80,60,20,1,4.5,750,286.33,46.37,61.82
0,80,60,20,1,4.5,850,345.52,50.45,59.35
0,80,60,20,1,4.5,1000,416.56,58.34,58.34
0,100,30,20,1,4.5,50,3.80,4.62,92.40
0,100,30,20,1,4.5,100,9.80,09.02,90.20
0,100,30,20,1,4.5,250,17.75,23.23,92.90
0,100,30,20,1,4.5,350,45.99,30.40,86.86
0,100,30,20,1,4.5,500,91.00,40.90,81.80
0,100,30,20,1,4.5,750,143.25,60.68,80.90
0,100,30,20,1,4.5,850,214.20,63.58,74.80
0,100,30,20,1,4.5,1000,285.80,71.42,71.42
0,100,45,20,1,4.5,50,6.20,4.38,87.60
0,100,45,20,1,4.5,100,14.39,8.56,85.61
0,100,45,20,1,4.5,250,43.66,20.63,82.54
0,100,45,20,1,4.5,350,64.85,28.52,81.47
0,100,45,20,1,4.5,500,106.20,39.38,78.76
0,100,45,20,1,4.5,750,242.42,50.76,67.68
0,100,45,20,1,4.5,850,298.52,55.15,64.88
0,100,45,20,1,4.5,1000,424.45,57.56,57.56
0,100,60,20,1,4.5,50,6.74,4.33,86.52
0,100,60,20,1,4.5,100,13.28,8.67,86.72
0,100,60,20,1,4.5,250,40.90,20.91,83.64
0,100,60,20,1,4.5,350,81.90,26.81,76.60
0,100,60,20,1,4.5,500,153.38,34.66,69.32
0,100,60,20,1,4.5,750,291.14,45.89,61.18
0,100,60,20,1,4.5,850,369.55,48.05,56.52
0,100,60,20,1,4.5,1000,443.07,55.69,55.69
0,100,30,20,1,4.5,50,5.00,4.50,90.00
0,100,30,20,1,4.5,100,8.60,9.14,91.40
0,100,30,20,1,4.5,250,23.00,22.70,90.80
0,100,30,20,1,4.5,350,45.96,30.40,86.87
0,100,30,20,1,4.5,500,63.80,43.62,87.24
0,100,30,20,1,4.5,750,143.00,60.70,80.93
0,100,30,20,1,4.5,850,242.93,60.71,71.42
0,100,30,20,1,4.5,1000,259.80,74.02,74.02
0,100,30,20,2,4.5,50,03.02,4.70,93.96
0,100,30,20,2,4.5,100,5.20,9.48,94.80
0,100,30,20,2,4.5,250,23.26,22.67,90.69
0,100,30,20,2,4.5,350,33.18,31.68,90.52
0,100,30,20,2,4.5,500,46.49,45.35,90.70
0,100,30,20,2,4.5,750,96.42,65.36,87.14
0,100,30,20,2,4.5,850,120.78,72.92,85.79
0,100,30,20,2,4.5,1000,180.83,81.92,81.92
0,100,30,20,3,4.5,50,1.85,4.82,96.30
0,100,30,20,3,4.5,100,4.10,9.59,95.90
0,100,30,20,3,4.5,250,17.20,23.28,93.12
0,100,30,20,3,4.5,350,21.00,32.90,94.00
0,100,30,20,3,4.5,500,41.30,45.87,91.74
0,100,30,20,3,4.5,750,80.20,66.98,89.31
